X1,X2
5.312871992,9.49348781
0.979635313,2.051203548
2.322179033,2.995586238
2.237344958,2.176602709
1.896408987,1.054852433
3.288793581,1.448617383
2.59872733,2.546107368
8.029924367,4.173967652
7.989771292,2.716341312
4.132252653,7.514640607
1.661359334,3.476492091
2.826890108,2.564162862
8.660975559,1.924152477
3.845276219,7.284524287
6.538754689,3.28736957
5.394773556,7.433443664
8.068730987,4.267719539
6.641779986,2.80344882
7.7142089,1.838613097
2.51532742,2.681698156
8.856155024,1.756266447
7.076109044,3.550330169
2.854578523,1.044365305
5.029656359,7.72417618
5.127780725,6.74134066
5.189348443,7.845960965
6.411802768,7.70617409
8.777744296,1.962702139
2.596310145,0.631156991
7.592922997,2.879551017
2.195971154,2.179277712
4.758230123,7.432898947
5.808731086,7.401180494
2.736091655,1.553667016
8.476654228,3.192358391
1.001663641,2.878871612
5.975341021,7.180975854
5.999836435,8.436409982
4.489765238,7.426872098
1.032180002,1.265974208
5.448190527,8.804203737
7.749425374,4.042124643
8.11303414,1.09802791
1.628785025,2.557741278
8.267438517,3.400643605
8.256866762,3.306600026
4.470972105,9.490237652
6.215822479,8.434433644
2.448183703,2.458967149
4.384915813,9.058310916
9.367068927,2.160273467
5.439537948,8.016599714
7.119102068,3.080296494
4.054667466,8.534047967
2.347446316,4.204002638
1.35594587,1.433746718
4.772665937,9.265381516
3.240212019,2.612335557
1.771819968,1.166986692
7.205907624,2.833529257
7.720802605,3.130283577
2.277047026,1.156946156
7.514411594,3.875376351
4.938801872,8.406756207
4.204169421,8.510215352
3.809158595,7.347448861
2.553538969,1.641507518
8.327130343,3.812828652
4.444780973,7.879510575
5.998481314,6.658409617
4.181696153,8.057974936
3.762515861,6.443822083
4.649416479,8.346417396
6.889956311,2.368070771
4.20913176,7.829307491
3.846545093,8.622375647
1.9584286,1.91104316
4.880090074,9.22658146
2.935211692,2.412491163
6.384166709,2.546494515
5.121586792,8.674510423
9.327089103,3.213028425
8.221067372,3.346692354
1.150514705,1.208505285
5.071640767,8.304571965
5.303671186,8.083832111
4.275807991,8.681355677
5.711102993,7.522687737
5.322134136,8.166060557
-0.287750389,2.339365621
6.836591019,8.485426328
5.971292584,5.941144148
1.704935851,3.522191944
3.608634247,4.015918692
7.52145913,3.025843487
1.835308495,1.812342967
1.778857883,3.343640779
8.861383066,2.437625052
4.301120643,7.255298253
7.495549554,1.354803184
0.87632772,0.792734117
1.202539922,2.262157524
8.073926372,3.38463719
9.571404281,3.334955202
1.633821419,0.412654709
5.281819683,8.042677059
0.413377737,1.258509073
5.666049152,7.938804613
9.213307814,1.671509459
1.547350313,1.128128709
8.497484757,4.174202152
8.454318588,2.720662586
7.692906606,3.773913605
8.175005925,2.718832253
8.769267974,3.210998708
8.431023982,2.900400594
8.040039233,1.750335009
3.864283065,9.090350842
1.685975675,1.674940742
1.691323223,2.800721742
5.776085247,8.130787703
4.771179163,8.72347696
1.055295585,2.611720067
8.887486322,1.784557342
1.364591965,2.40671866
2.833437439,0.994608565
8.706221558,3.367270947
0.892834505,0.602132964
8.5552534,2.716408833
2.025194755,1.181237771
5.452256709,7.486969458
4.443477968,8.791134204
6.721352017,2.310848279
2.456350061,1.578787596
4.800729605,7.694687651
5.133956933,7.958176472
2.16816578,2.301362248
1.556158821,2.847175284
9.380009823,3.470834842
8.561758706,4.069722416
1.733386865,2.597846794
2.38429554,0.858097916
7.874286093,2.082896527
1.596110195,1.750479906
2.129873973,2.205783307
1.641854054,1.907132785
7.094195828,3.460622449
7.931357045,3.125836645
7.039096645,3.765450345
0.573572782,1.975560363
4.196956738,5.36330758
4.647754262,8.367835843
5.377300459,8.52072127
2.332129499,2.598145283
9.358701434,5.475585238
4.885464683,7.360714428
9.08007032,2.971619502
7.764534679,3.414398162
4.02104341,9.076830497
8.363659155,2.282737001
7.833788927,3.070313235
4.532042461,7.472453145
1.892492013,3.059710141
7.360855625,2.277347289
5.289825025,7.083705231
3.254305741,2.942844965
7.145630874,2.898749818
0.818846302,2.185442368
5.436518118,7.732259634
5.036368722,8.119435863
1.793706216,2.228036651
7.075476441,2.820686194
1.50943977,3.0989508
1.315063745,2.602622547
4.10148831,8.330612489
2.756716854,1.399532677
1.980930918,2.762054167
4.260783572,7.406996852
4.924475216,6.720309568
6.960366478,2.448116266
5.809956201,8.06034727
1.54568953,1.195112588
8.490904035,3.746302975
10.05581363,2.460701112
5.838968695,7.47954788
7.860379516,2.48245638
0.345897601,2.238304249
4.613302607,9.080259335
7.92330643,2.771630446
8.506374145,2.912531599
8.19518004,3.32911865
5.335001137,8.197252547
6.6350776,9.018964357
9.248577709,3.146630935
7.661894777,3.592010074
1.444851359,4.082250623
2.902515235,1.989899239
1.718229328,1.238558515
